card_id,num_transactions,total_spend,active_days,txns_per_active_day,weekend_txn_ratio,weekend_spend_ratio,business_hours_ratio,evening_txn_ratio,night_txn_ratio,time_regularity_cv,avg_txn_amount,median_txn_amount,txn_amount_variability,large_txn_ratio,large_txn_total_amount,small_txn_ratio,unique_merchants,txns_per_merchant,top_merchant_concentration,unique_categories,category_diversity,top_category_concentration,pos_preference,billpayment_preference,p2pout_preference,ecom_preference,atmwithdrawal_preference,p2pin_preference,salary_preference,contactless_preference,qr_code_preference,chip_preference,ecom_preference,swipe_preference,uses_digital_wallet,wallet_type_diversity,uses_foreign_currency,currency_diversity,foreign_txn_ratio,countries_visited,unique_cities,card_remaining_months,days_since_last_txn,days_since_first_txn,observation_days,avg_daily_spend,daily_txn_consistency,max_txn_amount,min_txn_amount,txn_amount_range,avg_monthly_txns,cluster,umap_1,umap_2
10000,7955,170335602.51,508,15.659448818897637,0.39736015084852294,0.3825400259242609,0.4993086109365179,0.2717787554996857,0.07680703959773727,1.409278289980687,21412.395035826525,7433.95,2.771309092074403,0.05883092394720302,77383056.02000001,0.03004399748585795,487,13.034907597535934,0.11988027725267801,36,0.005671077504725898,0.25819155639571517,0.4489000628535512,0.20087994971715903,0.047265870521684475,0.14820867379006913,0.09981143934632307,0.05292269013199246,0.002011313639220616,0.2963564213564214,0.30447330447330445,0.15873015873015872,0.21266233766233766,0.027777777777777776,1,4,1,2,0.0006285355122564425,2,6,15.433333333333334,144,652,507,335967.6578106509,0.5011301091619009,2200038.0,100.0,2199938.0,662.9166666666666,3,11.116744,1.4830344
10001,850,28763166.49,110,7.7272727272727275,0.43176470588235294,0.4437760840565923,0.5117647058823529,0.24705882352941178,0.08588235294117647,1.3637271597583367,33839.0194,13963.255000000001,2.5555857848785077,0.10470588235294118,16672309.53,0.009411764705882352,153,3.810457516339869,0.18181818181818182,34,0.058319039451114926,0.18524871355060035,0.3411764705882353,0.04,0.06823529411764706,0.30470588235294116,0.1952941176470588,0.047058823529411764,0.0035294117647058825,0.2517482517482518,0.1888111888111888,0.18601398601398603,0.3622377622377622,0.011188811188811189,1,4,0,1,0.0,1,6,31.666666666666668,144,257,112,256813.98651785712,0.6190032139573746,1377642.19,140.51,1377501.68,212.5,2,10.264256,13.383657
10002,1731,19637670.01,345,5.017391304347826,0.36279607163489314,0.3467709456637315,0.49566724436741766,0.2778740612362796,0.07741190063547082,1.2174428562726813,11344.696712882727,4566.07,2.232719120602186,0.02484113229347198,5969081.17,0.05488157134604275,300,5.48,0.19768856447688565,36,0.021897810218978103,0.33394160583941607,0.05141536683997689,0.09647602541883304,0.0,0.8018486424032352,0.0439052570768342,0.0,0.006354708261120739,0.025756600128783,0.05730843528654218,0.0231809401159047,0.8937540244687702,0.0,1,4,1,2,0.0017331022530329288,2,6,34.7,144,496,351,55947.77780626781,0.6286026201150768,440797.47,100.0,440697.47,144.25,8,-3.4944704,9.204724
10003,4852,21464554.04,511,9.495107632093934,0.3794311624072547,0.39447182802964964,0.49587798845836767,0.2800906842539159,0.07584501236603462,1.3267404828535716,4423.856974443528,1483.1100000000001,2.1747097455184754,0.00247320692497939,1181725.65,0.2277411376751855,394,6.786802030456853,0.14510097232610322,36,0.013462976813762155,0.25841436050860134,0.3988046166529266,0.0533800494641385,0.19723825226710634,0.0989282769991756,0.050082440230832644,0.19826875515251444,0.0032976092333058533,0.18886380737396538,0.5244544770504138,0.08577878103837472,0.18058690744920994,0.020316027088036117,1,4,0,1,0.0,1,6,37.733333333333334,144,658,513,41841.2359454191,0.5286014520427093,201425.63,100.0,201325.63,404.3333333333333,5,11.017104,5.9196205
10004,353,9788625.41,229,1.5414847161572052,0.41076487252124644,0.3785915697840561,0.5042492917847026,0.26912181303116145,0.056657223796033995,1.1912606571893938,27729.81702549575,10830.92,1.7738516786737673,0.07365439093484419,4752422.350000001,0.036827195467422094,64,3.203125,0.13658536585365855,22,0.1073170731707317,0.2926829268292683,0.29178470254957506,0.1671388101983003,0.0453257790368272,0.12181303116147309,0.28328611898017,0.039660056657223795,0.05099150141643059,0.36585365853658536,0.21951219512195122,0.22764227642276422,0.17479674796747968,0.012195121951219513,1,4,0,1,0.0,1,6,37.733333333333334,266,810,543,18026.934456721916,0.6058464795856756,223563.0,208.65,223354.35,29.416666666666668,10,7.295795,13.047452
10005,1640,32180153.580000002,91,18.021978021978022,0.3951219512195122,0.4147212196120289,0.49085365853658536,0.26890243902439026,0.07865853658536585,1.4509367065478493,19622.04486585366,6739.205,2.407067362904382,0.05426829268292683,14369700.12,0.020121951219512196,274,4.806569343065694,0.13059984813971146,33,0.025056947608200455,0.3530751708428246,0.42621951219512194,0.20853658536585365,0.0524390243902439,0.16829268292682928,0.09817073170731708,0.045121951219512194,0.0012195121951219512,0.27816901408450706,0.30633802816901406,0.14788732394366197,0.24295774647887325,0.02464788732394366,1,4,0,1,0.0,1,6,41.833333333333336,144,235,90,357557.26200000005,0.46453732924962643,941019.25,140.04,940879.21,546.6666666666666,0,7.217127,6.3922386
10006,337,10099244.11,232,1.4525862068965518,0.41543026706231456,0.3436362912115014,0.5341246290801187,0.24629080118694363,0.05341246290801187,1.1119558861448293,29968.083412462907,12085.93,1.8456829343519552,0.0771513353115727,5367120.34,0.09792284866468842,55,3.5272727272727273,0.17525773195876287,18,0.09278350515463918,0.26288659793814434,0.3026706231454006,0.14540059347181009,0.050445103857566766,0.12759643916913946,0.27002967359050445,0.04747774480712166,0.05637982195845697,0.3177966101694915,0.2754237288135593,0.22033898305084745,0.18220338983050846,0.00423728813559322,1,4,0,1,0.0,1,5,17.466666666666665,146,744,597,16916.656800670014,0.5272143237041765,236297.0,100.0,236197.0,28.083333333333332,10,6.8465147,13.143238
10007,72,2324691.18,56,1.2857142857142858,0.3611111111111111,0.40957593343645754,0.5138888888888888,0.2777777777777778,0.08333333333333333,1.125061342419032,32287.377500000002,12999.814999999999,1.625170734391163,0.125,1386761.3699999999,0.0,13,2.923076923076923,0.2894736842105263,7,0.18421052631578946,0.3684210526315789,0.3055555555555556,0.1388888888888889,0.08333333333333333,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.05555555555555555,0.3673469387755102,0.2857142857142857,0.20408163265306123,0.12244897959183673,0.02040816326530612,1,4,0,1,0.0,1,5,28.6,146,271,125,18597.529440000002,0.437829561619654,213387.0,1069.79,212317.21,14.4,10,8.213997,12.33729
10008,173,4431242.36,110,1.5727272727272728,0.31213872832369943,0.3454386006546481,0.4797687861271676,0.3236994219653179,0.06358381502890173,1.2575650486219898,25614.117687861275,10707.83,1.830020004254386,0.06358381502890173,2074087.7400000002,0.017341040462427744,30,3.566666666666667,0.17757009345794392,15,0.14018691588785046,0.37383177570093457,0.31213872832369943,0.23121387283236994,0.023121387283236993,0.07514450867052024,0.26011560693641617,0.05202312138728324,0.046242774566473986,0.24107142857142858,0.3392857142857143,0.29464285714285715,0.11607142857142858,0.008928571428571428,1,4,0,1,0.0,1,5,26.566666666666666,146,390,244,18160.829344262296,0.4830826223004997,223526.0,158.55,223367.45,19.22222222222222,10,7.362318,12.6116295
10009,11470,273629041.51,446,25.717488789237667,0.3900610287707062,0.3894139112646267,0.5001743679163034,0.27576285963382735,0.07279860505666957,1.5005438133556452,23856.062904097646,7328.799999999999,4.888977125670552,0.05326939843068875,142705181.53,0.013339145597210113,500,15.962,0.07680741761684,36,0.004510712943240195,0.23367998997619346,0.34899738448125545,0.047863993025283345,0.0998256320836966,0.29895379250217957,0.10183086312118571,0.1013077593722755,0.0012205754141238012,0.2002325581395349,0.26709302325581397,0.11581395348837209,0.3987209302325581,0.01813953488372093,1,4,1,4,0.0006974716652136007,4,6,34.7,144,590,445,614896.722494382,0.4240522985484058,8185369.89,100.0,8185269.89,955.8333333333334,9,10.647135,-1.3026619
